file,version,CodeLine,Call,CallBy,CallNondynamic,CallNondynamicBy,Couple,CoupleBy,Create,CreateBy,DotRef,DotRefBy,Extend_Couple,Extend_CoupleBy,Implement_Couple,Implement_CoupleBy,Import,ImportBy,Override,OverrideBy,Typed,TypedBy,Use,UseBy,blocking,blocked
org.eclipse.jubula.client.ui/src/org/eclipse/jubula/client/ui/provider/contentprovider/objectmapping/ObjectMappingRow.java,1,18,0,13,0,0,0,7,0,2,0,2,0,0,0,0,1,2,0,0,2,6,0,2,0,0
org.eclipse.jubula.client.ui/src/org/eclipse/jubula/client/ui/handlers/AbstractJobHandler.java,1,34,0,10,0,0,0,2,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0
org.apache.poi-3.2-FINAL/src/java/org/apache/poi/hssf/record/formula/IntPtg.java,1,35,2,6,2,4,3,4,0,2,1,2,1,0,0,0,2,3,3,0,1,0,0,1,0,0
org.apache.poi-3.2-FINAL/src/java/org/apache/poi/hssf/record/WindowTwoRecord.java,1,279,53,28,29,26,5,5,0,2,21,12,1,0,0,0,3,3,5,0,13,2,0,11,0,0
org.eclipse.jubula.client.core/src/org/eclipse/jubula/client/core/persistence/ObjectMappingManager.java,1,63,10,3,2,0,8,2,1,1,4,0,0,0,0,0,7,1,0,0,7,1,2,0,0,0
org.apache.poi-3.2-FINAL/src/java/org/apache/poi/hssf/record/MulRKRecord.java,1,73,11,7,11,6,6,2,1,1,5,2,1,0,0,0,2,0,3,0,3,1,0,1,0,0
org.eclipse.jubula.client.core/src/org/eclipse/jubula/client/core/utils/SpecTreeTraverser.java,1,51,15,5,0,0,1,4,0,5,0,0,1,0,0,0,5,3,1,0,12,1,0,0,0,0
org.eclipse.jubula.client.ui/src/org/eclipse/jubula/client/ui/widgets/ModifiableListObservable.java,1,128,0,0,0,0,1,1,0,1,5,0,0,0,1,0,1,10,15,0,0,20,5,0,0,0
org.eclipse.jubula.tools/src/org/eclipse/jubula/tools/xml/businessmodell/ConcreteComponent.java,1,69,7,34,3,0,4,16,2,0,1,13,1,0,0,0,2,14,4,0,1,25,1,0,0,0
org.apache.poi-3.2-FINAL/src/java/org/apache/poi/hssf/record/formula/functions/Value.java,1,3,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
org.eclipse.jubula.rc.common/src/org/eclipse/jubula/rc/common/implclasses/Verifier.java,1,58,10,77,5,77,4,29,3,0,5,91,0,0,0,0,3,29,0,0,0,0,0,0,0,0
org.eclipse.jubula.client.ui/src/org/eclipse/jubula/client/ui/constants/ContextHelpIds.java,1,180,0,0,0,0,0,0,0,0,0,94,0,0,0,0,0,77,0,0,0,0,0,94,0,0
org.apache.poi-3.2-FINAL/src/java/org/apache/poi/hssf/record/FontIndexRecord.java,1,54,5,1,5,0,4,1,0,1,4,1,1,0,0,0,2,0,5,0,1,0,0,1,0,0
org.eclipse.jubula.client.ui/src/org/eclipse/jubula/client/ui/controllers/CompNamePopupTextFieldToolTipListener.java,1,89,4,0,3,0,4,0,1,0,7,0,0,0,0,0,5,0,0,0,2,0,4,0,0,0
org.apache.poi-3.2-FINAL/src/java/org/apache/poi/hssf/record/GutsRecord.java,1,94,10,11,10,0,3,4,0,2,6,3,1,0,0,0,1,2,5,0,1,5,0,1,0,0
org.eclipse.jubula.client.ui/src/org/eclipse/jubula/client/ui/widgets/CompNameCellValidator.java,1,38,3,1,1,0,1,1,0,1,1,0,0,0,0,0,3,1,0,0,3,0,0,0,0,0
org.eclipse.jubula.client.core/src/org/eclipse/jubula/client/core/commands/CAPTestResponseCommand.java,1,140,11,5,2,0,5,1,0,2,77,0,0,0,1,0,7,1,4,0,5,1,75,0,0,0
org.apache.poi-3.2-FINAL/src/java/org/apache/poi/hssf/record/formula/functions/Goto.java,1,3,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
org.eclipse.jubula.rc.swt/src/org/eclipse/jubula/rc/swt/implclasses/ComboBoxHelper.java,1,179,46,1,6,0,15,2,4,1,10,5,1,0,8,0,9,0,18,0,5,0,4,0,0,0
org.eclipse.jubula.client.ui/src/org/eclipse/jubula/client/ui/actions/AbstractPasteTreeItemAction.java,1,19,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
org.eclipse.jubula.client.core/src/org/eclipse/jubula/client/core/utils/SimpleValueToken.java,1,101,3,3,0,0,4,5,2,3,13,0,0,0,1,0,6,0,9,0,3,0,13,0,0,0
