file,version,CodeLine,Call,CallBy,CallNondynamic,CallNondynamicBy,Couple,CoupleBy,Create,CreateBy,DotRef,DotRefBy,Extend_Couple,Extend_CoupleBy,Implement_Couple,Implement_CoupleBy,Import,ImportBy,Override,OverrideBy,Typed,TypedBy,Use,UseBy,blocking,blocked
plugins/org.eclipse.actf.core/src/com/ibm/haac/raven/core/model/InvalidComponentException.java,1,16,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
plugins/org.eclipse.actf.core/src/com/ibm/haac/raven/core/model/IModel.java,1,20,0,2,0,0,0,0,0,0,0,0,0,1,0,1,3,3,0,12,2,8,0,0,0,0
plugins/org.eclipse.actf.core/src/com/ibm/haac/raven/core/traverse/DomTreeNodeWalker.java,1,47,3,1,0,0,2,1,0,1,0,0,1,0,0,0,1,1,3,0,0,0,0,0,0,0
plugins/org.eclipse.actf.core/src/com/ibm/haac/raven/core/traverse/AbstractTreeNodeWalker.java,1,80,9,3,2,0,5,1,0,0,2,0,1,1,1,0,7,0,6,0,4,0,3,0,0,0
plugins/org.eclipse.actf.core/src/com/ibm/haac/raven/core/traverse/filters/INodeFilter.java,1,6,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,4,0,3,0,5,0,0,0,0
plugins/org.eclipse.actf.core/src/com/ibm/haac/util/command/CLSwitch.java,1,128,2,52,0,0,1,1,1,3,0,0,0,0,0,0,0,0,0,0,4,15,0,0,0,0
plugins/org.eclipse.actf.core/src/com/ibm/haac/util/command/CLArgumentException.java,1,16,0,6,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
plugins/org.eclipse.actf.core/src/com/ibm/haac/util/jar/InstallJars.java,1,612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
plugins/org.eclipse.actf.core/src/com/ibm/haac/raven/core/logging/ConsoleErrorLogger.java,1,25,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
plugins/org.eclipse.actf.core/src/com/ibm/haac/raven/core/traverse/ITreeNodeWalker.java,1,12,0,5,0,0,1,0,0,0,0,0,1,0,0,1,2,2,0,5,0,2,0,0,0,0
